WaDEBenUse,UniqueCount,len_WBU
"Agriculture Irrigation,Domestic,Fire,Recreation",39,4
"Aquaculture,Fire,Livestock",39,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Unspecified",39,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Public Supply,Recreation,Unspecified",39,8
"Livestock,Reservoir Storage",38,2
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Other,Unspecified",38,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other,Unspecified",37,7
"Agriculture Irrigation,Domestic,Livestock,Other,Public Supply,Unspecified",37,6
"Aquaculture,Domestic,Fire,Livestock",37,4
"Domestic,Fire,Recreation",36,3
"Agriculture Irrigation,In-stream Flow,Recreation",36,3
"Domestic,Mining,Other",36,3
"Agriculture Irrigation,Fire,Other",36,3
"Agriculture Irrigation,Commercial/Industrial,Domestic,Public Supply,Recreation,Snow",36,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Other,Public Supply,Recreation,Unspecified",35,8
"Aquaculture,Fire,Recreation,Unspecified",35,4
"Aquaculture,In-stream Flow,Recreation",35,3
"Aquaculture,Commercial/Industrial,Domestic,Other,Public Supply,Recreation",35,6
"Aquaculture,Livestock,Other,Recreation,Unspecified",35,5
"Domestic,Public Supply,Unspecified",35,3
"Agriculture Irrigation,Hydroelectric",35,2
"Agriculture Irrigation,Domestic,Fire,Livestock,Recreation",34,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Public Supply,Recreation,Reservoir Storage,Unspecified",34,9
"Aquaculture,Other,Unspecified",34,3
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Fire,Livestock,Other,Recreation,Unspecified",34,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Public Supply,Unspecified",34,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation",34,5
"Aquaculture,Domestic,Fire,Livestock,Other",34,5
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Livestock,Other,Recreation,Reservoir Storage,Unspecified",34,8
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Domestic,Livestock,Other,Recreation,Unspecified",34,8
"Aquaculture,Domestic,Fire,Livestock,Recreation",33,5
"Domestic,Fire,Other",33,3
"Agriculture Irrigation,Commercial/Industrial,Other,Public Supply",33,4
"Agriculture Irrigation,Aquaculture,Recreation,Unspecified",33,4
"Livestock,Reservoir Storage,Unspecified",33,3
"Other,Recreation,Unspecified",33,3
"Commercial/Industrial,In-stream Flow,Livestock",32,3
"Agriculture Irrigation,Aquaculture,Domestic,Livestock,Other,Recreation",32,6
"Agriculture Irrigation,Reservoir Storage,Unspecified",32,3
"Commercial/Industrial,Domestic,Livestock,Recreation",31,4
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Livestock,Public Supply,Unspecified",31,7
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Livestock,Other",31,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",31,11
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,In-stream Flow,Other,Recreation",31,7
"Aquaculture,Livestock,Unspecified",31,3
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Recreation,Unspecified",31,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Fire,Recreation,Reservoir Storage,Unspecified",30,8
"Agriculture Irrigation,Mining",30,2
"Agriculture Irrigation,Aquaculture,Fire",30,3
"Agriculture Irrigation,Other,Recreation,Unspecified",30,4
"Agriculture Irrigation,Commercial/Industrial,Domestic,Livestock,Other",30,5
"Agriculture Irrigation,Fire,Other,Recreation",29,4
"Agriculture Irrigation,Livestock,Mining",29,3
