WaDEBenUse,UniqueCount,len_WBU
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Public Supply,Recreation,Unspecified",1,7
"Agriculture Irrigation,Commercial/Industrial,Fire,Public Supply,Recreation,Snow",1,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Hydroelectric,Public Supply,Recreation,Unspecified",1,8
"Reservoir Storage,Snow",1,2
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Public Supply,Unspecified",1,6
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Livestock,Other,Recreation,Unspecified",1,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,In-stream Flow,Public Supply,Recreation,Unspecified",1,7
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Livestock,Other,Recreation,Reservoir Storage",1,7
"Agriculture Irrigation,Aquaculture,Fire,Hydroelectric,Livestock,Recreation",1,6
"Aquaculture,Commercial/Industrial,Domestic,Livestock,Recreation,Unspecified",1,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Public Supply,Unspecified",1,6
"Aquaculture,Commercial/Industrial,Domestic,Fire,Livestock,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",1,10
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Other,Public Supply,Recreation,Snow,Unspecified",1,9
"Agriculture Irrigation,Aquaculture,Fire,Hydroelectric,Livestock,Other,Recreation,Reservoir Storage",1,8
"Aquaculture,In-stream Flow,Public Supply,Recreation",1,4
"Domestic,Public Supply,Snow",1,3
"Agriculture Irrigation,Domestic,Fire,Livestock,Public Supply,Recreation,Unspecified",1,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Hydroelectric,Livestock,Other,Public Supply,Recreation",1,8
"Agriculture Irrigation,Commercial/Industrial,Fire,Other,Recreation,Unspecified",1,6
"Agriculture Irrigation,Aquaculture,Fire,Other,Reservoir Storage",1,5
"Agriculture Irrigation,Commercial/Industrial,Fire,Recreation,Unspecified",1,5
"Agriculture Irrigation,Aquaculture,Domestic,Other,Reservoir Storage,Unspecified",1,6
"Aquifer Recharge,Livestock,Other",1,3
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Livestock,Recreation,Reservoir Storage,Unspecified",1,8
"Agriculture Irrigation,Hydroelectric,Livestock,Other",1,4
"Agriculture Irrigation,Domestic,Fire,Other,Public Supply,Unspecified",1,6
"Aquaculture,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage",1,7
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Livestock,Recreation,Reservoir Storage,Unspecified",1,7
"Agriculture Irrigation,Domestic,Fire,Livestock,Other,Public Supply,Reservoir Storage",1,7
"Agriculture Irrigation,Aquaculture,Fire,Other,Reservoir Storage,Unspecified",1,6
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Recreation,Snow,Unspecified",1,7
"Agriculture Irrigation,Aquaculture,Domestic,Fire,Public Supply,Recreation,Unspecified",1,7
"Agriculture Irrigation,Aquifer Recharge,Recreation,Reservoir Storage,Unspecified",1,5
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Domestic,Livestock,Other,Reservoir Storage",1,7
"Aquaculture,Commercial/Industrial,Fire,Livestock,Other",1,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Fire,Livestock,Other,Public Supply,Reservoir Storage,Unspecified",1,9
"Aquaculture,Commercial/Industrial,Livestock,Recreation",1,4
"Aquaculture,Domestic,Hydroelectric,Livestock",1,4
"Agriculture Irrigation,Domestic,Fire,Livestock,Recreation,Reservoir Storage",1,6
"Domestic,Hydroelectric,Livestock,Other",1,4
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,Other,Unspecified",1,5
"Agriculture Irrigation,Aquaculture,Domestic,Other,Public Supply,Recreation,Reservoir Storage,Unspecified",1,8
"Agriculture Irrigation,Commercial/Industrial,Domestic,Fire,Other,Recreation,Reservoir Storage",1,7
"Commercial/Industrial,Fire,Other,Recreation,Reservoir Storage",1,5
"Fire,Other,Public Supply",1,3
"Aquifer Recharge,Hydroelectric",1,2
"Domestic,Fire,Livestock,Other,Reservoir Storage",1,5
"Aquaculture,Domestic,Other,Recreation,Reservoir Storage,Unspecified",1,6
"Agriculture Irrigation,Aquaculture,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Recreation",1,8
"Agriculture Irrigation,Domestic,Fire,Livestock,Reservoir Storage",1,5
"Agriculture Irrigation,Domestic,Fire,Other,Unspecified",1,5
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Other,Recreation,Reservoir Storage,Unspecified",1,10
"Agriculture Irrigation,Aquifer Recharge,Commercial/Industrial,Domestic,Fire,Livestock,Recreation",1,7
"Agriculture Irrigation,Aquaculture,Commercial/Industrial,In-stream Flow,Other,Public Supply,Recreation,Unspecified",1,8
"Agriculture Irrigation,Fire,Other,Reservoir Storage",1,4
"Domestic,Fire,Livestock,Other,Recreation,Unspecified",1,6
"Domestic,Fire,Livestock,Other,Unspecified",1,5
"Aquifer Recharge,Livestock,Public Supply",1,3
